laboratory_id,participant_id,creature,phase,step,timestamp_ms,Layer1_circle,Layer2_circle,Layer3_circle,Layer4_strokedraw,Layer5_strokedraw,Layer6_strokedraw,Layer7_rectangle,Layer8_eye,Layer9_eye,Layer10_eye,Layer11_star,Layer12_mouth,Layer13_line,Layer14_mouth
L-001,P-008,4,draw,1,1246,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,2,2581,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,3,3509,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,4,4398,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,5,5933,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,6,6893,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,7,7629,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,8,8318,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,9,9965,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,10,11149,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,11,12493,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,12,13352,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,13,14117,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,14,16568,color_changed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,15,16661,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,16,20071,NA,color_changed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,17,20189,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,18,24847,NA,NA,color_changed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,19,29061,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,20,33717,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,21,38046,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,22,39632,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,23,41381,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,24,42605,NA,NA,NA,NA,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,25,43813,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,26,48175,NA,NA,NA,NA,NA,NA,color_changed,NA,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,27,48287,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,28,50093,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,29,54486,NA,NA,NA,NA,NA,NA,NA,color_changed,NA,NA,NA,NA,NA,NA
L-001,P-008,4,draw,30,54577,NA,NA,NA,NA,NA,NA,NA,NA,duplicated,NA,NA,NA,NA,NA
L-001,P-008,4,draw,31,56925,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA
L-001,P-008,4,draw,32,57768,NA,NA,NA,NA,NA,NA,NA,NA,NA,duplicated,NA,NA,NA,NA
L-001,P-008,4,draw,33,61949,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA
L-001,P-008,4,draw,34,66305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA
L-001,P-008,4,draw,35,69693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA
L-001,P-008,4,draw,36,73257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,color_changed,NA,NA,NA
L-001,P-008,4,draw,37,110665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA
L-001,P-008,4,draw,38,113173,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA
L-001,P-008,4,draw,39,113973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA
L-001,P-008,4,draw,40,115450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA
L-001,P-008,4,draw,41,116181,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA
L-001,P-008,4,draw,42,117085,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA
