laboratory_id,participant_id,creature,phase,step,timestamp_ms,Layer1_strokedraw,Layer2_strokedraw,Layer3_strokedraw,Layer4_circle,Layer5_nose,Layer6_mouth,Layer7_arm,Layer8_arm,Layer9_leg,Layer10_leg,Layer11_strokedraw,Layer12_strokedraw,Layer13_strokedraw,Layer14_strokedraw,Layer15_strokedraw,Layer16_strokedraw,Layer17_strokedraw,Layer18_strokedraw,Layer19_strokedraw,Layer20_strokedraw,Layer21_strokedraw,Layer22_strokedraw,Layer23_strokedraw,Layer24_strokedraw,Layer25_strokedraw,Layer26_strokedraw,Layer27_strokedraw,Layer28_strokedraw,Layer29_strokedraw,Layer30_strokedraw,Layer31_strokedraw,Layer32_strokedraw,Layer33_strokedraw,Layer34_strokedraw,Layer35_strokedraw,Layer36_strokedraw,Layer37_strokedraw,Layer38_strokedraw,Layer39_strokedraw
L-001,P-012,4,draw,1,25597,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,2,34085,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,3,37429,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,4,39949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,5,42695,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,6,45357,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,7,48633,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,8,57797,NA,NA,NA,color_changed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,9,59212,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,10,62161,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-012,4,draw,11,64172,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
