laboratory_id,participant_id,creature,phase,step,timestamp_ms,Layer1_strokedraw,Layer2_strokedraw,Layer3_strokedraw,Layer4_strokedraw,Layer5_strokedraw,Layer6_strokedraw,Layer7_strokedraw,Layer8_strokedraw,Layer9_strokedraw,Layer10_strokedraw,Layer11_strokedraw,Layer12_eye,Layer13_eye,Layer14_tail,Layer15_triangle,Layer16_nose,Layer17_strokedraw,Layer18_strokedraw,Layer19_strokedraw,Layer20_figuredraw,Layer21_figuredraw,Layer22_eye,Layer23_eye,Layer24_figuredraw,Layer25_nose,Layer26_star
L-001,P-013,4,draw,1,18485,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,2,26285,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,3,29085,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,4,31877,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,5,34221,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,6,47069,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,7,48677,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,8,49645,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,9,50654,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,10,51598,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,11,56982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,12,66248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,13,68389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,14,70853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,15,71933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,16,73369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,17,75837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,18,78661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,19,81841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,20,83863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,deleted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,21,89002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,22,90981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,23,93181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,24,96909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,25,98101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,26,101485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rotated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,27,103517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,28,105804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,29,107645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,30,109653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,31,112804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,32,120473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,33,123221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scaled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,34,124941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,moved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-001,P-013,4,draw,35,132455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,added,NA,NA,NA,NA,NA,NA,NA,NA,NA
